jurisdiction,sex,age,month,year,time_frame,dataset,population,count_alldrug,count_opioid,count_fentanyl,count_heroin,count_stimulant,count_cocaine,count_methamphetamine,count_benzodiazepine,rate_alldrug,rate_opioid,rate_fentanyl,rate_heroin,rate_stimulant,rate_cocaine,rate_methamphetamine,rate_benzodiazepine
US,F,0-14,1,2018,monthly,ED,21648996,1725,46,NA,0,62,suppressed,NA,55,8.0,0.2,NA,0.0,0.3,suppressed,NA,0.3
US,F,0-14,2,2018,monthly,ED,21648996,1623,51,NA,suppressed,79,suppressed,NA,61,7.5,0.2,NA,suppressed,0.4,suppressed,NA,0.3
US,F,0-14,3,2018,monthly,ED,21648996,1665,36,NA,0,81,suppressed,NA,62,7.7,0.2,NA,0.0,0.4,suppressed,NA,0.3
US,F,0-14,4,2018,monthly,ED,21648996,1690,50,NA,0,74,suppressed,NA,65,7.8,0.2,NA,0.0,0.3,suppressed,NA,0.3
US,F,0-14,5,2018,monthly,ED,21648996,1824,50,NA,suppressed,71,suppressed,NA,65,8.4,0.2,NA,suppressed,0.3,suppressed,NA,0.3
US,F,0-14,6,2018,monthly,ED,21648996,1558,58,NA,suppressed,55,0,NA,53,7.2,0.3,NA,suppressed,0.3,0.0,NA,0.2
US,F,0-14,7,2018,monthly,ED,21648996,1597,56,NA,0,80,suppressed,NA,44,7.4,0.3,NA,0.0,0.4,suppressed,NA,0.2
US,F,0-14,8,2018,monthly,ED,21648996,1731,66,NA,0,77,suppressed,NA,59,8.0,0.3,NA,0.0,0.4,suppressed,NA,0.3
US,F,0-14,9,2018,monthly,ED,21648996,1588,54,NA,suppressed,67,suppressed,NA,64,7.3,0.2,NA,suppressed,0.3,suppressed,NA,0.3
US,F,0-14,10,2018,monthly,ED,21648996,1735,60,NA,suppressed,62,suppressed,NA,62,8.0,0.3,NA,suppressed,0.3,suppressed,NA,0.3
US,F,0-14,11,2018,monthly,ED,21648996,1622,47,NA,suppressed,73,0,NA,50,7.5,0.2,NA,suppressed,0.3,0.0,NA,0.2
US,F,0-14,12,2018,monthly,ED,21648996,1610,58,NA,0,68,suppressed,NA,54,7.4,0.3,NA,0.0,0.3,suppressed,NA,0.2
US,F,0-14,all,2018,annual,ED,21648996,19968,632,NA,14,849,18,NA,694,92.2,2.9,NA,suppressed,3.9,suppressed,NA,3.2
US,F,15-24,1,2018,monthly,ED,15141576,1674,421,NA,295,105,29,NA,159,11.1,2.8,NA,1.9,0.7,0.2,NA,1.1
US,F,15-24,2,2018,monthly,ED,15141576,1540,402,NA,270,130,39,NA,153,10.2,2.7,NA,1.8,0.9,0.3,NA,1.0
US,F,15-24,3,2018,monthly,ED,15141576,1738,469,NA,312,111,28,NA,148,11.5,3.1,NA,2.1,0.7,0.2,NA,1.0
US,F,15-24,4,2018,monthly,ED,15141576,1700,439,NA,300,115,25,NA,144,11.2,2.9,NA,2.0,0.8,0.2,NA,1.0
US,F,15-24,5,2018,monthly,ED,15141576,1697,454,NA,301,144,36,NA,134,11.2,3.0,NA,2.0,1.0,0.2,NA,0.9
US,F,15-24,6,2018,monthly,ED,15141576,1573,458,NA,331,119,31,NA,126,10.4,3.0,NA,2.2,0.8,0.2,NA,0.8
US,F,15-24,7,2018,monthly,ED,15141576,1565,442,NA,310,117,30,NA,120,10.3,2.9,NA,2.0,0.8,0.2,NA,0.8
US,F,15-24,8,2018,monthly,ED,15141576,1614,425,NA,282,128,31,NA,143,10.7,2.8,NA,1.9,0.8,0.2,NA,0.9
US,F,15-24,9,2018,monthly,ED,15141576,1733,432,NA,278,131,29,NA,142,11.4,2.9,NA,1.8,0.9,0.2,NA,0.9
US,F,15-24,10,2018,monthly,ED,15141576,1833,457,NA,311,117,30,NA,150,12.1,3.0,NA,2.1,0.8,0.2,NA,1.0
US,F,15-24,11,2018,monthly,ED,15141576,1615,405,NA,247,110,27,NA,143,10.7,2.7,NA,1.6,0.7,0.2,NA,0.9
US,F,15-24,12,2018,monthly,ED,15141576,1606,416,NA,247,135,28,NA,97,10.6,2.7,NA,1.6,0.9,0.2,NA,0.6
US,F,15-24,all,2018,annual,ED,15141576,19888,5220,NA,3484,1462,363,NA,1659,131.3,34.5,NA,23.0,9.7,2.4,NA,11.0
US,F,25-34,1,2018,monthly,ED,16319054,1872,933,NA,696,139,45,NA,153,11.5,5.7,NA,4.3,0.9,0.3,NA,0.9
US,F,25-34,2,2018,monthly,ED,16319054,1778,910,NA,663,146,45,NA,149,10.9,5.6,NA,4.1,0.9,0.3,NA,0.9
US,F,25-34,3,2018,monthly,ED,16319054,2067,1084,NA,788,211,59,NA,139,12.7,6.6,NA,4.8,1.3,0.4,NA,0.9
US,F,25-34,4,2018,monthly,ED,16319054,1967,1013,NA,716,168,41,NA,146,12.1,6.2,NA,4.4,1.0,0.3,NA,0.9
US,F,25-34,5,2018,monthly,ED,16319054,2150,1121,NA,822,175,54,NA,152,13.2,6.9,NA,5.0,1.1,0.3,NA,0.9
US,F,25-34,6,2018,monthly,ED,16319054,2068,1055,NA,755,206,72,NA,141,12.7,6.5,NA,4.6,1.3,0.4,NA,0.9
US,F,25-34,7,2018,monthly,ED,16319054,2186,1092,NA,798,225,76,NA,153,13.4,6.7,NA,4.9,1.4,0.5,NA,0.9
US,F,25-34,8,2018,monthly,ED,16319054,2194,1131,NA,830,190,66,NA,163,13.4,6.9,NA,5.1,1.2,0.4,NA,1.0
US,F,25-34,9,2018,monthly,ED,16319054,2106,1072,NA,746,193,64,NA,171,12.9,6.6,NA,4.6,1.2,0.4,NA,1.0
US,F,25-34,10,2018,monthly,ED,16319054,2063,1077,NA,762,187,55,NA,148,12.6,6.6,NA,4.7,1.1,0.3,NA,0.9
US,F,25-34,11,2018,monthly,ED,16319054,1851,965,NA,677,185,54,NA,126,11.3,5.9,NA,4.1,1.1,0.3,NA,0.8
US,F,25-34,12,2018,monthly,ED,16319054,1956,958,NA,677,167,61,NA,146,12.0,5.9,NA,4.1,1.0,0.4,NA,0.9
US,F,25-34,all,2018,annual,ED,16319054,24258,12411,NA,8930,2192,692,NA,1787,148.6,76.1,NA,54.7,13.4,4.2,NA,11.0
US,F,35-54,1,2018,monthly,ED,30189911,2357,898,NA,497,142,53,NA,250,7.8,3.0,NA,1.6,0.5,0.2,NA,0.8
US,F,35-54,2,2018,monthly,ED,30189911,2245,940,NA,545,176,85,NA,216,7.4,3.1,NA,1.8,0.6,0.3,NA,0.7
